country,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
ME,376.459065467071,339.12021357237927,314.04504312298354,301.9288941987745,296.2673530158305,302.98729506613006,335.2738382936387,388.51436897328597,416.1492932527298,419.79295768688684,417.02571500895965,409.81953262815546,405.3675550290162,398.53115287158715,397.8337962966981,403.17480865781465,436.20776701528825,460.56754102956126,467.99640126037696,468.66740280034844,463.5212076130447,443.58600609231553,418.79836270001306,411.6145387390671
MK,1157.5186876191437,1021.668235427784,928.6740231539463,869.572066741305,862.4980731309442,887.3939771799608,966.1461753749209,1004.3751578500496,1049.2091936198485,1077.2615882567789,1078.4617603688434,1071.3846955282766,1056.7087550225456,1044.2242520490881,1038.7510045335928,1049.2529305839712,1105.004864096491,1192.3616952518798,1217.6780865100793,1213.486818721867,1178.262651955356,1155.8270468851993,1272.4371669814204,1284.200372212379
NI,917.3476433200475,809.2093566631468,783.8417203962128,760.2830312973053,738.947828543781,733.2742892559683,761.1963906328976,905.3173823197948,1140.4497543700968,1270.6315504270547,1328.587670894609,1327.8622442062408,1323.7465767668557,1314.985087256553,1271.5232150835172,1257.8974101474876,1274.6020161093697,1368.8828812271233,1502.5453296442838,1509.6349589108293,1439.0791678094145,1350.4001357726088,1245.3015315757816,1098.38247422843
NL,11293.724401278676,10728.828306660675,10453.311071471693,10358.510590455617,10410.080501629966,10777.529561828202,12041.400356091413,13912.874703932885,14996.20219480302,15447.27061880715,15525.425072731907,15534.017347677462,15390.609077743547,15536.09915417082,15550.73944936459,15561.179655164535,15774.942939834134,16238.456551925268,15664.434845336757,15309.886223373558,14741.35538746539,14020.546498386098,13039.153851961093,12161.199094764037
NO,15874.077033578618,15465.734924200193,15298.629148177693,15306.017598437236,15486.569555596921,15915.425673395723,17283.693813386442,18978.66504616037,19395.380298225988,19240.334358312884,19109.846969632756,18951.649502305583,18863.211615981003,18855.82124604028,18927.920441141585,19156.844915435202,19369.323045716177,19071.08661240045,18795.96310487313,18541.657311450683,18277.662689188208,17799.389752854026,17089.18178681192,16280.717170136613
PL,15708.01350047277,15188.406798176946,14856.728931238946,14869.813862109266,15102.46760919261,15768.932495635723,18078.021215260153,19787.128509962346,20572.280260861666,20809.44090543081,20794.699071291954,21056.620876015582,21083.135298491386,21231.370368225194,20942.150046940813,21053.529894107967,21629.85752329351,21585.282423707595,21409.610439894113,21460.94428156974,20965.996821652298,19601.02083021594,18053.401269671587,16737.325521300052
PT,5346.895004064006,4938.783369783551,4680.088721960781,4556.634561541135,4497.002411179734,4451.007557204968,4554.4003536991495,4964.339330080854,5531.634393765829,6234.738287936999,6374.894328271836,6516.830522707267,6571.201506722293,6278.000660208069,6323.584477302708,6410.097998216795,6342.9600637998055,6372.880448967124,6737.6670168182945,6804.787863902038,6898.1157613163705,6635.868900869575,6344.956926564541,5964.987535887145
RO,5495.521751141171,5290.431239846393,5218.930802866418,5206.842401314256,5240.259257406826,5424.554011286777,5922.979916139788,6652.390745240935,6941.739477390634,7013.824248113196,7007.559775267178,6940.601943118511,6902.1621766426,6930.832831319767,6858.8602539299245,6806.870302557161,6880.9315825873255,7094.853812305769,7195.562410762529,7341.568802684095,7388.001594946414,7068.032171317407,6466.916776174409,5917.282558788376
RS,4838.427997584616,4455.369010268583,4115.536273366695,3936.6160609830586,3906.3303910753016,4079.7717857018324,4627.554078953284,5108.899597665116,5301.027782512833,5379.905060762239,5354.083981572305,5344.767445919275,5285.836658952834,5234.985336396453,5184.881222542443,5256.51523971039,5587.480185583436,5792.964428223113,5849.2792877574675,5898.137463936876,5793.514690464318,5606.992937002162,5451.725059424675,5229.063115816857
SE,16766.66143908528,16509.03506274199,16503.66905339578,16623.419841170267,16962.82198433092,17864.839519757425,19814.18596340197,21354.53293288479,21432.171228437543,21120.99323089757,20844.84933975191,20448.978989353876,20108.63288990544,19870.115211229775,19732.29887908337,19772.89315248566,19857.981091272562,20493.410921074916,20797.68652429676,20686.572663192084,20102.32312035049,19309.872272798173,18288.718690512258,17338.321815826064
