Country,1991/1,1991/2,1991/3,1991/4,1991/5,1991/6,1991/7,1991/8,1991/9,1991/10,1991/11,1991/12,1992/1,1992/2,1992/3,1992/4,1992/5,1992/6,1992/7,1992/8,1992/9,1992/10,1992/11,1992/12,1993/1,1993/2,1993/3,1993/4,1993/5,1993/6,1993/7,1993/8,1993/9,1993/10,1993/11,1993/12,1994/1,1994/2,1994/3,1994/4,1994/5,1994/6,1994/7,1994/8,1994/9,1994/10,1994/11,1994/12,1995/1,1995/2,1995/3,1995/4,1995/5,1995/6,1995/7,1995/8,1995/9,1995/10,1995/11,1995/12,1996/1,1996/2,1996/3,1996/4,1996/5,1996/6,1996/7,1996/8,1996/9,1996/10,1996/11,1996/12,1997/1,1997/2,1997/3,1997/4,1997/5,1997/6,1997/7,1997/8,1997/9,1997/10,1997/11,1997/12,1998/1,1998/2,1998/3,1998/4,1998/5,1998/6,1998/7,1998/8,1998/9,1998/10,1998/11,1998/12,1999/1,1999/2,1999/3,1999/4,1999/5,1999/6,1999/7,1999/8,1999/9,1999/10,1999/11,1999/12,2000/1,2000/2,2000/3,2000/4,2000/5,2000/6,2000/7,2000/8,2000/9,2000/10,2000/11,2000/12,2001/1,2001/2,2001/3,2001/4,2001/5,2001/6,2001/7,2001/8,2001/9,2001/10,2001/11,2001/12,2002/1,2002/2,2002/3,2002/4,2002/5,2002/6,2002/7,2002/8,2002/9,2002/10,2002/11,2002/12,2003/1,2003/2,2003/3,2003/4,2003/5,2003/6,2003/7,2003/8,2003/9,2003/10,2003/11,2003/12,2004/1,2004/2,2004/3,2004/4,2004/5,2004/6,2004/7,2004/8,2004/9,2004/10,2004/11,2004/12
FR,37840,36461,31284,29755,28852,26445,27304,24648,26541,31497,34607,38476,40401,35803,34625,31539,27832,26832,27852,25445,27835,33211,32912,37090,37368,35364,35245,30577,27995,27373,28096,25695,28378,32331,36459,38216,38987,34808,33495,33321,28877,28554,29341,26857,29417,31747,32622,37612,41010,33743,37272,32173,30186,29437,29851,27855,28966,32205,35187,39238,40587,39725,37821,32991,31556,29188,30715,27644,30208,33821,36532,40764,43788,35214,33311,33248,30950,29877,31192,28887,30319,34603,35735,39302,41558,36826,37493,35362,31710,30928,32356,29091,31350,35701,39452,42168,41861,39109,38313,35325,31554,31532,32623,29647,31797,35634,40031,43439,45444,39938,39762,36906,33424,32059,33043,31317,32755,37176,40022,41196,44834,38951,39657,37301,34592,32917,33733,31765,34027,36410,41681,46982,46003,38316,38902,36378,34814,33263,34549,31185,33637,38230,39166,43867,48413,43741,39717,37706,34473,33875,35323,32267,34036,40833,40821,45817,48410,43871,45204,38549,35517,34056,34722,31777,34334,38215,43534,49049
GR,2933,2630,2649,2425,2426,2635,2801,2651,2523,2594,2646,3019,3017,2879,2859,2475,2550,2651,2876,2905,2541,2660,2652,3003,2970,2786,2791,2482,2519,2813,3210,3098,2771,2707,2891,2988,2966,2818,2837,2622,2739,3032,3350,3283,2995,2876,2972,3289,3238,2829,3020,2720,2880,3189,3417,3230,2927,2983,3206,3327,3421,3143,3355,2819,3024,3190,3719,3419,2932,3031,3083,3303,3387,3144,3330,3067,3135,3399,3959,3374,3157,3280,3318,3562,3512,3170,3480,3118,3197,3547,4299,4033,3344,3340,3409,3843,3695,3372,3495,3506,3350,3813,4311,4025,3353,3475,3541,3868,4102,3697,3785,3410,3611,4128,4831,4358,3719,3621,3652,4070,4254,3777,3944,3603,3825,4325,5085,4708,4083,4056,4137,4675,4584,3831,4092,3938,3908,4535,5260,4465,3969,4036,4143,4670,4399,4357,4422,3996,4197,4585,5367,4874,4215,4163,4177,4719,4484,4074,4153,3763,3838,4220,5157,4726,4129,3968,4137,4572
HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,930,1004,875,955,727,794,1005,985,1072,1256,1456,1374,1282,1245,1067,975,951,1025,1022,993,1080,1243,1416,1451,1268,1264,1046,997,1009,1073,1077,1027,1091,1135,1325,1360,1217,1230,1151,1037,1021,1122,1121,1089,1146,1324,1585,1547,1278,1268,1185,1081,1074,1189,1145,1098,1194,1217,1458,1480,1417,1358,1210,1105,1146,1232,1247,1134,1291,1305,1512,1562,1448,1458,1254,1179,1136,1269,1249,1208,1257,1372,1568
HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229,2905,3152,2777,2689,2585,2688,2614,2749,2990,3226,3306,3393,3051,3123,2767,2673,2623,2716,2667,2727,3028,3213,3301,3382,3102,3228,2788,2783,2752,2795,2846,2789,3005,3150,3238,3443,3034,3201,2957,2879,2754,2910,2847,2906,3153,3279,3422,3477,3049,3200,2975,2879,2890,3026,2885,2987,3237,3229,3356,3506,3241,3346,3050,2998,3053,3099,3119,3011,3303,3312,3380,3503,3253,3347,3025,2990,2934,3080,3014,3050,3253,3342,3430
IT,21627,20004,20518,19161,19963,19412,20922,16395,19949,21024,20822,21172,21890,20909,21578,19893,20069,20025,21010,17036,20152,21014,20667,20444,21259,20189,21898,19693,20260,20606,21031,17297,20536,21199,21292,21340,21528,20521,21799,20021,21142,21095,22185,18505,21389,21650,21621,22155,23127,21093,23007,20562,21685,21624,23044,18369,21622,22413,22493,22030,23059,22266,23065,20575,21769,21753,22727,18195,21421,22623,21885,21821,23114,21608,22489,22018,22568,22597,24146,19236,23454,23971,23412,23387,24026,22435,24155,22407,22932,23646,25077,19995,23338,23921,23839,23630,23832,22865,24521,22425,23421,23999,25472,20688,24343,24719,24599,24960,25231,24657,25607,23085,24747,25321,25992,21899,25250,25459,25455,25003,26481,24383,26381,23635,25610,25697,27090,22739,25129,26346,25706,25638,27582,24827,26008,24407,25805,26562,28160,22089,25779,26789,26291,26062,27405,25984,27203,24937,26315,27983,29769,24259,26355,27202,26583,26664,27523,26692,28105,25584,26322,26884,29417,24110,27605,27709,27612,27794
LU,389,370,388,365,360,344,346,291,346,381,389,400,412,391,403,368,349,324,328,283,358,394,387,389,402,378,411,375,366,359,335,284,370,401,408,416,429,398,436,403,387,382,385,323,386,398,419,436,461,416,473,420,427,406,404,369,409,442,449,463,483,425,476,430,421,396,387,311,396,438,433,443,471,417,444,434,419,412,420,383,420,478,473,480,496,449,483,457,439,431,438,342,453,492,489,469,496,468,503,495,447,452,475,382,460,505,508,482,509,509,537,486,498,469,489,393,425,501,527,514,537,490,546,489,474,472,484,411,481,532,523,517,542,500,530,505,503,493,505,429,488,544,536,500,553,508,552,514,507,490,512,426,501,550,548,524,539,539,581,514,522,518,540,437,521,565,551,538
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,702,689,589,482,474,504,504,496,590,656,800,804,721,680,555,518,485,513,511,506,575,695,821
NL,6957,6431,6586,6082,6258,6183,6241,6309,6352,6859,6711,6798,6971,6466,6763,6292,6371,6302,6434,6185,6504,6909,6742,6855,6984,6301,6827,6260,6236,6372,6295,6207,6545,6777,6933,7098,6979,6390,6866,6358,6391,6427,6533,6565,6633,6895,6912,7019,8083,7221,7765,7019,7071,7009,7076,7255,7160,7816,7790,7931,8377,7822,7985,7217,7420,7199,7325,7487,7375,7857,8089,8406,8661,7624,7903,7600,7634,7545,7717,7835,7764,8512,8334,8657,8774,7815,8636,7999,7963,7880,8065,7749,8181,8777,8768,8979,9014,8149,8837,8010,7998,7935,8346,8052,8318,8836,8979,9333,9155,8622,9075,8260,8547,8184,8282,8430,8528,9049,9196,9222,9643,8602,9326,8487,8641,8434,8628,8813,8770,9432,9333,9589,9734,8723,9319,8624,8700,8555,8691,8837,8858,9406,9433,9877,10086,8996,9398,8689,8750,8569,8730,8759,8828,9411,9487,9861,10064,9429,9849,8936,8767,8606,8714,8656,8688,9400,9620,10128
PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13198,11799,12599,10799,10070,9429,9789,9834,10322,12112,12867,13526,12924,11963,12176,10588,10149,9470,9572,9749,9948,11786,12509,13295,13461,12143,12620,10637,10062,9775,10003,10042,10595,11644,12066,12790,13222,11727,12515,10962,10034,9750,9846,9893,10426,11483,12241,13142,13079,11046,11881,10617,9761,9563,9884,9894,10422,12141,12100,13526,13429,12131,12358,11110,10347,9871,10393,10333,10575,12437,12298,13028,12520,11334,11691,10334,10039,9692,9858,9922,10043,11224,11413,12205
PT,2617,2347,2346,2114,2192,2097,2338,2028,2191,2326,2355,2505,2809,2453,2338,2230,2238,2143,2394,2079,2262,2359,2380,2485,2717,2320,2505,2268,2252,2204,2386,2095,2240,2306,2443,2564,2784,2498,2440,2275,2415,2350,2502,2263,2444,2476,2534,2698,2943,2511,2740,2417,2569,2531,2714,2499,2571,2688,2701,2872,3070,2919,2846,2553,2686,2618,2909,2523,2671,2796,2815,3069,3285,2705,2751,2698,2717,2704,2991,2627,2911,3002,2947,3167,3286,2835,3030,2909,2917,2937,3237,2905,3033,3075,3111,3452,3562,3139,3336,3009,3118,3085,3381,2996,3156,3207,3394,3637,3912,3359,3328,3211,3322,3276,3443,3225,3323,3428,3657,3722,4066,3500,3834,3341,3577,3476,3668,3395,3512,3649,3788,4183,4193,3551,3806,3539,3562,3513,3845,3381,3555,3789,3807,4026,4373,3886,3820,3540,3691,3663,3950,3654,3780,3927,3994,4333,4287,3913,4150,3666,3744,3813,4029,3626,3787,3889,4152,4513
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551,4275,4482,4055,3825,3855,3995,3688,3624,4264,4365,4461,4685,4400,4514,3948,3998,3811,4041,3880,3840,4233,4571,4824
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,1035,1160,999,838,1035,1042,790,848,900,904,967,937,832,904,846,878,876,893,857,912,964,989,1032,1043,936,1002,868,1307,922,909,889,945,983,1002,1017,1043,925,1031,940,946,602,952,918,949,1012,1037,1083,1104,972,917,1027,1000,1014,1034,974,1040,1107,1087,1117,1163,1080,1128,1051,1027,1060,1071,1009,960,1138,1130,1205,1159,1089,1206,1076,1070,1055,1131,1037,1038,1144,1166,1186
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567,2316,2502,2087,1977,1849,1849,1813,1885,2214,2464,2629,2520,2342,2357,2024,1942,1828,1856,1817,1802,2177,2410,2580,2615,2360,2411,2003,1897,1882,1878,1887,1920,2131,2239,2430,2511,2240,2347,2088,1895,1883,1874,1877,1976,2169,2379,2568,2576,2239,2321,2090,1942,1896,1946,1907,1990,2322,2337,2572,2603,2367,2401,2108,1916,1883,1936,1928,1946,2382,2377,2537,2591,2394,2417,2054,1998,1910,1958,1944,1993,2216,2325,2503
SIHR,1983,1898,1696,1719,2240,1914,1439,1405,1653,1682,2101,1883,1842,1765,1834,1641,1500,1488,1501,1469,1478,1700,1772,1933,1943,1804,1800,1570,1484,1439,1463,1460,1498,1663,1854,1906,1830,1732,1765,1651,1580,1580,1608,1573,1606,1798,1802,1980,2032,1743,1942,1681,1627,1567,1625,1580,1632,1756,1929,2027,2105,2011,2035,1759,1606,1568,1625,1606,1701,1814,1863,2130,2148,1883,1951,1915,1729,1690,1744,1736,1778,2017,2084,2220,2178,1967,2164,1874,1793,1762,1836,1795,1833,1972,2160,2423,2311,2114,2149,1900,1843,1824,1922,1877,1904,2044,2236,2459,2485,2213,2270,1925,2298,1934,2356,1837,1968,2068,2142,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUGO,5120,4826,4562,4179,3992,3650,3566,3653,3618,3989,4444,5285,3315,3087,2875,2250,1668,1269,1232,1314,1356,3167,3339,4224,4360,4010,4219,3152,2549,2372,2330,2418,2386,3307,4315,4527,4785,4303,3733,3339,2830,2635,2608,2582,2699,3812,4154,4530,4886,4035,4548,3660,3094,2711,2770,2778,2913,3360,4338,4868,5121,4876,4830,3818,2976,2887,2951,2983,3269,3874,4167,5164,4963,4282,4278,4108,3040,2903,2948,2964,3057,4007,4350,4975,4797,4229,4656,3454,3214,2943,2966,2960,3082,3610,4518,5531,5163,4727,4206,2915,2225,2316,2636,2714,2767,3483,4244,5005,5306,4679,4549,3404,3064,2952,3013,3023,3090,3420,3873,4837,5074,4510,4195,3872,3137,3035,3094,3061,3114,3520,4504,5539,5260,4144,4216,3855,3221,3117,3130,3109,3189,3851,4144,5094,,,,,,,,,,,,,,,,,,,,,,,,
